Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate,urban
S01010546,Badenoch and Strathspey North,Highland,843,466,0.08,65,0.04,21,80,96.45696444,20.60435657,122.7886548,0.180751174,0,79.41186734,0.75658,5.95,83.785802,0,0.06,1.697158251,1.51700431,1.364236453,1.919794521,1.556422414,3.921707317,5.043940887,4.474605911,4.595412562,0.021505376,12.18487104,144.541768,57,3,0.077762619,0.004092769,0
S01010547,Badenoch and Strathspey North,Highland,763,478,0.04,27,0.03,13,35,12.98085954,20.23787747,70.40617794,0.119422572,0.052631579,60.90458172,0.84375,5.454545455,75.25665428,0.018348624,0.096774,7.342536328,7.718180317,7.805928005,8.628730769,8.108527081,9.809827586,23.10261559,21.75778952,21.97120211,0.663212435,8.12324736,106.4645788,34,36,0.045092838,0.047745358,0
S01010548,Nairn Rural,Highland,698,348,0.04,27,0.03,11,50,14.47616942,0,27.92381514,0.13215859,0,63.12593694,0.89706,6.058823529,58.4048972,0,0.112245,6.214462445,5.066410162,4.646907216,5.732238562,7.020747423,8.275033784,18.61331922,16.6418796,21.07809647,0.627627628,3.04621776,43.64208825,18,14,0.026587888,0.020679468,0
S01010549,Nairn Rural,Highland,1329,809,0.04,52,0.04,30,55,6.69694391,0,63.7796579,0.153530378,0.036363636,64.52349647,0.89286,5.914893617,45.83725593,0,0.089286,3.294174578,5.920195148,4.877987869,5.857687651,4.31837289,8.156225166,21.94907173,17.16712816,15.23401371,0.109060403,9.13865328,68.76338059,10,0,0.010626993,0,0
S01010550,Nairn Rural,Highland,510,332,0.08,43,0.07,23,80,83.45463191,0,144.4499564,0.18503937,0.181818182,93.83208837,0.8087,5.416666667,74.44891406,0,0.104651,3.564719626,7.977570093,0.803686916,1.573275862,6.377705607,9.9495,22.32185047,3.39388785,14.40451402,0,*,*,42,7,0.078504673,0.013084112,0
S01010551,Nairn Rural,Highland,826,509,0.04,32,0.04,21,45,32.70238587,0,47.96935289,0.136531365,0,74.67233486,0.89916,5.727272727,58.00858623,0.045045045,0.114286,5.20010219,9.300054745,4.061456204,3.561142241,7.833934307,11.33861765,32.01272628,17.46441241,25.08419891,0.739130435,20.3081184,245.8609976,31,33,0.045255474,0.048175182,0
S01010552,Nairn Rural,Highland,764,490,0.08,62,0.04,18,50,22.97407766,46.31403539,49.30592943,0.133069829,0,62.42554401,0.90909,5.857142857,68.9814564,0,0.168,10.74022669,9.081063218,9.786609195,5.309783951,10.69690932,12.14357143,33.62431833,33.79892401,36.65544168,0.606648199,5.0770296,66.45326702,40,41,0.051085568,0.052362708,0
S01010553,Nairn Rural,Highland,596,386,0.04,23,0.06,22,55,15.72968188,26.32421372,39.97533729,0.140495868,0,47.14221787,0.85714,5.8,59.32454539,0.026086957,0.147059,12.89136071,14.7272182,12.04548309,10.11905263,14.70584944,17.13714286,36.81804549,30.11370773,36.76462359,0.973880597,6.09243552,102.2220725,15,38,0.024154589,0.061191626,0
S01010554,Nairn East,Highland,726,436,0.09,67,0.07,30,70,108.8080329,64.09785422,87.40336184,0.149171271,0.038461539,82.78234019,0.875,5.066666667,69.53042704,0,0.105882,2.334400773,3.635373711,2.592306701,2.963883929,2.035618557,5.3932,11.88572809,10.0797616,7.85681701,0.002325581,11.16946512,153.8493818,105,17,0.135309278,0.021907216,0
S01010555,Nairn East,Highland,867,615,0.11,94,0.09,57,75,126.6607785,136.3387508,84.60657259,0.158139535,0.052631579,87.26848845,0.81022,5.909090909,79.12870466,0.025423729,0.085106,2.170302139,2.383085561,1.433296791,2.27737931,1.142737968,4.307693878,8.006834225,4.929593583,3.528181818,0.011864407,82.24787952,948.6491294,140,32,0.151515152,0.034632035,0
S01010556,Nairn East,Highland,1016,545,0.19,195,0.14,76,135,128.6803369,156.6205971,175.1119846,0.264990329,0.060606061,103.0905436,0.76949,5.216216216,133.0104641,0.02027027,0.024631,3.296189438,1.007347384,1.783435078,2.106803571,2.210479651,4.852247706,4.427250484,8.513028101,8.594353198,0,41.63164272,409.760263,109,7,0.117710583,0.007559395,0
S01010557,Nairn East,Highland,628,386,0.12,74,0.09,35,90,56.46292268,28.68432981,70.66847837,0.154093098,0.1,76.65763851,0.74834,5.391304348,114.1935432,0.020618557,0.054422,2.225405616,5.725842434,4.673205928,5.233510638,4.123588144,7.624468085,18.10805772,13.8926053,12.03646646,0.206293706,14.21568288,226.3643771,59,5,0.092043682,0.007800312,0
S01010558,Nairn East,Highland,788,453,0.11,83,0.1,46,90,131.8506326,21.95300811,91.37684565,0.17314931,0,83.27903661,0.79339,5.448275862,89.23969055,0.010204082,0.057851,1.83860625,4.399115625,3.357653125,3.644705882,2.79730625,6.379277778,14.9556125,12.225625,10.38991875,0.002252252,17.26190064,219.0596528,63,8,0.07875,0.01,0
S01010559,Nairn West,Highland,888,451,0.07,65,0.05,24,70,83.69395325,47.53921053,96.56220969,0.218181818,0.083333333,66.37889539,0.86905,6.1875,40.22832564,0,0.155172,2.755347661,3.386681416,2.497910872,2.20428,2.589785082,4.251886447,12.7485493,9.238141593,8.457534766,0.060046189,11.16946512,125.7822649,18,8,0.024725275,0.010989011,0
